"lin" "exp" "BK7" "refraction"
"1" 0.4 1 1 2.09640733617534
"2" 0.45 0.670320046035639 1 1.93639440266054
"3" 0.5 0.449328964117222 1 1.82452453842212
"4" 0.55 0.301194211912202 1 1.75322073531069
"5" 0.6 0.201896517994655 1 1.69720277691657
"6" 0.65 0.135335283236613 1 1.66699787302831
"7" 0.7 0.0907179532894125 1 1.64654463085737
"8" 0.75 0.060810062625218 1 1.63456579518927
"9" 0.8 0.0407622039783662 1 1.60280855693970
"10" 0.85 0.0273237224472925 1 1.62253959869251
"11" 0.9 0.0183156388887342 1 1.60930692787651
"12" 0.95 0.0122773399030684 1 1.60749869017318
"13" 1 0.00822974704902003 1 1.59761416056959
"14" 0.4 1 0 1.99936544336019
"15" 0.45 0.670320046035639 0 1.83151827167467
"16" 0.5 0.449328964117222 0 1.7350801588472
"17" 0.55 0.301194211912202 0 1.64391717824634
"18" 0.6 0.201896517994655 0 1.60681908631334
"19" 0.65 0.135335283236613 0 1.57637349828537
"20" 0.7 0.0907179532894125 0 1.54343323952870
"21" 0.75 0.060810062625218 0 1.52361022501426
"22" 0.8 0.0407622039783662 0 1.51487951420916
"23" 0.85 0.0273237224472925 0 1.52046728084556
"24" 0.9 0.0183156388887342 0 1.50998655821774
"25" 0.95 0.0122773399030684 0 1.51477722513783
"26" 1 0.00822974704902003 0 1.50731513523485
